
# Surface 0 of 1 surfaces

# Curve title: ""main_2D_contourtmp0.dat""

# Contour 0, label:      400
-5.17425  3.9384  400 
-5.19889  3.8172  400 
-5.21904  3.696  400 
-5.23508  3.5748  400 
-5.24735  3.4536  400 
-5.25623  3.3324  400 
-5.26204  3.2112  400 
-5.2651  3.09  400 
-5.26574  2.9688  400 
-5.26425  2.8476  400 
-5.26092  2.7264  400 
-5.25603  2.6052  400 
-5.24984  2.484  400 
-5.24262  2.3628  400 
-5.23461  2.2416  400 
-5.22605  2.1204  400 
-5.21716  1.9992  400 
-5.20815  1.878  400 
-5.19924  1.7568  400 
-5.19062  1.6356  400 
-5.18248  1.5144  400 
-5.17499  1.3932  400 
-5.16832  1.272  400 
-5.16262  1.1508  400 
-5.15806  1.0296  400 
-5.15476  0.908397  400 
-5.15285  0.787197  400 
-5.15245  0.665997  400 
-5.15368  0.544797  400 
-5.15664  0.423597  400 
-5.1614  0.302397  400 
-5.16806  0.181198  400 
-5.17668  0.0599976  400 
-5.18732 -0.0612024  400 
-5.20003 -0.182402  400 
-5.21484 -0.303602  400 
-5.23179 -0.424802  400 
-5.25088 -0.546002  400 
-5.27211 -0.667202  400 
-5.2728 -0.670791  400 
-5.29339 -0.788402  400 
-5.31649 -0.909602  400 
-5.34143 -1.0308  400 
-5.36817 -1.152  400 
-5.394 -1.2621  400 
-5.39639 -1.2732  400 
-5.42373 -1.3944  400 
-5.45243 -1.5156  400 
-5.48238 -1.6368  400 
-5.51346 -1.758  400 
-5.5152 -1.76465  400 
-5.54278 -1.8792  400 
-5.57265 -2.0004  400 
-5.60305 -2.1216  400 
-5.6338 -2.2428  400 
-5.6364 -2.25309  400 
-5.66218 -2.364  400 
-5.69021 -2.4852  400 
-5.7179 -2.6064  400 
-5.74501 -2.7276  400 
-5.7576 -2.78602  400 
-5.77006 -2.8488  400 
-5.79293 -2.97  400 
-5.81443 -3.0912  400 
-5.83425 -3.2124  400 
-5.85207 -3.3336  400 
-5.8675 -3.4548  400 
-5.8788 -3.56291  400 
-5.88006 -3.576  400 
-5.88871 -3.6972  400 
-5.89405 -3.8184  400 
-5.89564 -3.9396  400 
-5.89302 -4.0608  400 


# Contour 1, label:      200
 3.5748  4.03831  200 
 3.53045  4.0596  200 
 3.4536  4.09348  200 
 3.3324  4.14076  200 
 3.21603  4.18079  200 
 3.2112  4.18232  200 
 3.09  4.21529  200 
 2.9688  4.24378  200 
 2.8476  4.26811  200 
 2.7264  4.2886  200 
 2.63064  4.302  200 
 2.6052  4.30525  200 
 2.484  4.31772  200 
 2.3628  4.3276  200 
 2.2416  4.33522  200 
 2.1204  4.34089  200 
 1.9992  4.3449  200 
 1.878  4.34757  200 
 1.7568  4.34919  200 
 1.6356  4.35005  200 
 1.5144  4.35046  200 
 1.3932  4.35068  200 
 1.272  4.35099  200 
 1.1508  4.35165  200 
 1.0296  4.35292  200 
 0.908397  4.35503  200 
 0.787197  4.35821  200 
 0.665997  4.36266  200 
 0.544797  4.36859  200 
 0.423597  4.37615  200 
 0.302397  4.38551  200 
 0.181198  4.39679  200 
 0.0599976  4.41011  200 
-0.0429784  4.4232  200 
-0.0612024  4.42527  200 
-0.182402  4.44084  200 
-0.303602  4.45832  200 
-0.424802  4.47771  200 
-0.546002  4.49897  200 
-0.667202  4.52203  200 
-0.776704  4.54439  200 
-0.788402  4.54653  200 
-0.909602  4.56991  200 
-1.0308  4.59451  200 
-1.152  4.62018  200 
-1.2732  4.64671  200 
-1.35765  4.6656  200 
-1.3944  4.67297  200 
-1.5156  4.69748  200 
-1.6368  4.72204  200 
-1.758  4.74636  200 
-1.8792  4.77012  200 
-1.96765  4.78679  200 
-2.0004  4.79235  200 
-2.1216  4.81168  200 
-2.2428  4.82952  200 
-2.364  4.84549  200 
-2.4852  4.85921  200 
-2.6064  4.87024  200 
-2.7276  4.87814  200 
-2.8488  4.88245  200 
-2.97  4.88268  200 
-3.0912  4.87832  200 
-3.2124  4.86884  200 
-3.3336  4.85369  200 
-3.4548  4.8323  200 
-3.576  4.80409  200 

 3.09 -4.11086  200 
 3.2112 -4.13175  200 
 3.3324 -4.14836  200 
 3.4536 -4.1601  200 
 3.5748 -4.16637  200 
 3.696 -4.16654  200 
 3.8172 -4.15994  200 
 3.9384 -4.1459  200 
 4.0596 -4.12367  200 
 4.18079 -4.09251  200 
 4.2748 -4.0608  200 
 4.302 -4.0506  200 
 4.4232 -3.99341  200 
 4.51646 -3.9396  200 
 4.54439 -3.92156  200 
 4.6656 -3.82792  200 
 4.67607 -3.8184  200 
 4.78679 -3.70489  200 
 4.79326 -3.6972  200 
 4.88285 -3.576  200 
 4.908 -3.537  200 
 4.95412 -3.4548  200 
 5.01276 -3.3336  200 
 5.0292 -3.29377  200 
 5.0587 -3.2124  200 
 5.09561 -3.0912  200 
 5.126 -2.97  200 
 5.1504 -2.84901  200 
 5.15043 -2.8488  200 
 5.16734 -2.7276  200 
 5.1799 -2.6064  200 
 5.18853 -2.4852  200 
 5.19366 -2.364  200 
 5.19567 -2.2428  200 
 5.19494 -2.1216  200 
 5.19183 -2.0004  200 
 5.18666 -1.8792  200 
 5.17975 -1.758  200 
 5.17137 -1.6368  200 
 5.1618 -1.5156  200 
 5.15128 -1.3944  200 
 5.15039 -1.3849  200 
 5.13881 -1.2732  200 
 5.12565 -1.152  200 
 5.11213 -1.0308  200 
 5.09843 -0.909602  200 
 5.08469 -0.788402  200 
 5.07106 -0.667202  200 
 5.05764 -0.546002  200 
 5.04454 -0.424802  200 
 5.03183 -0.303602  200 
 5.0292 -0.277807  200 
 5.01839 -0.182402  200 
 5.00518 -0.0612024  200 
 4.99252  0.0599976  200 
 4.98042  0.181198  200 
 4.96884  0.302397  200 
